national_number,gen,english_name,description,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,is_sublegendary,is_legendary,is_mythical,evo1,evo1_target,evo2,evo2_target,evo3,evo3_target
108,I,Lickitung,If this Pokémon’s sticky saliva gets on you and you don’t clean it off an intense itch will set in. The itch won’t go away either.,normal,,Licking Pokémon,50.2,49.8,1.2,65.5,45,5120,90,55,75,60,75,30,Own Tempo,Oblivious,,Cloud Nine,0,0,0,34,Lickilicky,,,,
109,I,Koffing,Its body is full of poisonous gas. It floats into garbage dumps seeking out the fumes of raw rotting trash.,poison,,Poison Gas Pokémon,50.2,49.8,0.6,1,190,5120,40,65,95,60,45,35,Levitate,Neutralizing Gas,,Stench,0,0,0,35,Weezing,,,,
110,I,Weezing,It mixes gases between its two bodies. It’s said that these Pokémon were seen all over the Galar region back in the day.,poison,poison,Poison Gas Pokémon,50.2,49.8,1.2,9.5,60,5120,65,90,120,85,70,60,Levitate,Neutralizing Gas,,Stench,0,0,0,,,,,,
111,I,Rhyhorn,Strong but not too bright this Pokémon can shatter even a skyscraper with its charging tackles.,ground,rock,Spikes Pokémon,50.2,49.8,1,115,120,5120,80,85,95,30,30,25,Lightning Rod,Rock Head,,Reckless,0,0,0,42,Rhydon,,,,
112,I,Rhydon,It begins walking on its hind legs after evolution. It can punch holes through boulders with its horn.,ground,rock,Drill Pokémon,50.2,49.8,1.9,120,60,5120,105,130,120,45,45,40,Lightning Rod,Rock Head,,Reckless,0,0,0,-14,Rhyperior,,,,
113,I,Chansey,The egg Chansey carries is not only delicious but also packed with nutrition. It’s used as a high-class cooking ingredient.,normal,,Egg Pokémon,0,100,1.1,34.6,30,10240,250,5,5,35,105,50,Natural Cure,Serene Grace,,Healer,0,0,0,-7,Blissey,,,,
114,I,Tangela,Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off this Pokémon’s true appearance remains a mystery.,grass,,Vine Pokémon,50.2,49.8,1,35,45,5120,65,55,115,100,40,60,Chlorophyll,Leaf Guard,,Regenerator,0,0,0,34,Tangrowth,,,,
115,I,Kangaskhan,Although it’s carrying its baby in a pouch on its belly Kangaskhan is swift on its feet. It intimidates its opponents with quick jabs.,normal,,Parent Pokémon,0,100,2.2,80,45,5120,105,95,80,40,80,90,Early Bird,Scrappy,,Inner Focus,0,0,0,,,,,,
116,I,Horsea,Horsea makes its home in oceans with gentle currents. If this Pokémon is under attack it spits out pitch-black ink and escapes.,water,,Dragon Pokémon,50.2,49.8,0.4,8,225,5120,30,40,70,70,25,60,Swift Swim,Sniper,,Damp,0,0,0,32,Seadra,,,,
117,I,Seadra,It’s the males that raise the offspring. While Seadra are raising young the spines on their backs secrete thicker and stronger poison.,water,,Dragon Pokémon,50.2,49.8,1.2,25,75,5120,55,65,95,95,45,85,Poison Point,Sniper,,Damp,0,0,0,-15,Kingdra,,,,
118,I,Goldeen,Its dorsal pectoral and tail fins wave elegantly in water. That is why it is known as the Water Dancer.,water,,Goldfish Pokémon,50.2,49.8,0.6,15,225,5120,45,67,60,35,50,63,Swift Swim,Water Veil,,Lightning Rod,0,0,0,33,Seaking,,,,
119,I,Seaking,In autumn its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors.,water,,Goldfish Pokémon,50.2,49.8,1.3,39,60,5120,80,92,65,65,80,68,Swift Swim,Water Veil,,Lightning Rod,0,0,0,,,,,,
120,I,Staryu,If you visit a beach at the end of summer you’ll be able to see groups of Staryu lighting up in a steady rhythm.,water,,Starshape Pokémon,,,0.8,34.5,225,5120,30,45,55,70,55,85,Illuminate,Natural Cure,,Analytic,0,0,0,-2,Starmie,,,,
121,I,Starmie,This Pokémon has an organ known as its core. The organ glows in seven colors when Starmie is unleashing its potent psychic powers.,water,psychic,Mysterious Pokémon,,,1.1,80,60,5120,60,75,85,100,85,115,Illuminate,Natural Cure,,Analytic,0,0,0,,,,,,
122,I,Mr. Mime,The broadness of its hands may be no coincidence—many scientists believe its palms became enlarged specifically for pantomiming.,psychic,fairy,Barrier Pokémon,50.2,49.8,1.3,54.5,45,6400,40,45,65,100,120,90,Soundproof,Filter,,Technician,0,0,0,,,,,,
123,I,Scyther,As Scyther fights more and more battles its scythes become sharper and sharper. With a single slice Scyther can fell a massive tree.,bug,flying,Mantis Pokémon,50.2,49.8,1.5,56,45,6400,70,110,80,55,80,105,Swarm,Technician,,Steadfast,0,0,0,-9,Scizor,,,,
124,I,Jynx,In certain parts of Galar Jynx was once feared and worshiped as the Queen of Ice.,ice,psychic,Humanshape Pokémon,0,100,1.4,40.6,45,6400,65,50,35,115,95,95,Oblivious,Forewarn,,Dry Skin,0,0,0,,,,,,
125,I,Electabuzz,Many power plants keep Ground-type Pokémon around as a defense against Electabuzz that come seeking electricity.,electric,,Electric Pokémon,75.49,24.51,1.1,30,45,6400,65,83,57,95,85,105,Static,,,Vital Spirit,0,0,0,-10,Electivire,,,,
126,I,Magmar,Magmar dispatches its prey with fire. But it regrets this habit once it realizes that it has burned its intended prey to a charred crisp.,fire,,Spitfire Pokémon,75.49,24.51,1.3,44.5,45,6400,65,95,57,100,85,93,Flame Body,,,Vital Spirit,0,0,0,-11,Magmortar,,,,
127,I,Pinsir,These Pokémon judge one another based on pincers. Thicker more impressive pincers make for more popularity with the opposite gender.,bug,,Stagbeetle Pokémon,50.2,49.8,1.5,55,45,6400,65,125,100,55,70,85,Hyper Cutter,Mold Breaker,,Moxie,0,0,0,,,,,,
128,I,Tauros,When Tauros begins whipping itself with its tails it’s a warning that the Pokémon is about to charge with astounding speed.,normal,,Wild Bull Pokémon,100,0,1.4,88.4,45,5120,75,100,95,40,70,110,Intimidate,Anger Point,,Sheer Force,0,0,0,,,,,,
129,I,Magikarp,It is virtually worthless in terms of both power and speed. It is the most weak and pathetic Pokémon in the world.,water,,Fish Pokémon,50.2,49.8,0.9,10,255,1280,20,10,55,15,20,80,Swift Swim,,,Rattled,0,0,0,20,Gyarados,,,,
130,I,Gyarados,It has an extremely aggressive nature. The Hyper Beam it shoots from its mouth totally incinerates all targets.,water,flying,Atrocious Pokémon,50.2,49.8,6.5,235,45,1280,95,125,79,60,100,81,Intimidate,,,Moxie,0,0,0,,,,,,
131,I,Lapras,A smart and kindhearted Pokémon it glides across the surface of the sea while its beautiful song echoes around it.,water,ice,Transport Pokémon,50.2,49.8,2.5,220,45,10240,130,85,80,85,95,60,Water Absorb,Shell Armor,,Hydration,0,0,0,,,,,,
132,I,Ditto,It can reconstitute its entire cellular structure to change into what it sees but it returns to normal when it relaxes.,normal,,Transform Pokémon,,,0.3,4,35,5120,48,48,48,48,48,48,Limber,,,Imposter,0,0,0,,,,,,
133,I,Eevee,It has the ability to alter the composition of its body to suit its surrounding environment.,normal,,Evolution Pokémon,88.14,11.86,0.3,6.5,45,8960,55,55,50,45,65,55,Run Away,Adaptability,,Anticipation,0,0,0,-1,Flareon,-2,Vaporeon,-4,Jolteon
134,I,Vaporeon,When Vaporeon’s fins begin to vibrate it is a sign that rain will come within a few hours.,water,,Bubble Jet Pokémon,88.14,11.86,1,29,45,8960,130,65,60,110,95,65,Water Absorb,,,Hydration,0,0,0,,,,,,
135,I,Jolteon,If it is angered or startled the fur all over its body bristles like sharp needles that pierce foes.,electric,,Lightning Pokémon,88.14,11.86,0.8,24.5,45,8960,65,65,60,110,95,130,Volt Absorb,,,Quick Feet,0,0,0,,,,,,
136,I,Flareon,Once it has stored up enough heat this Pokémon’s body temperature can reach up to 1700 degrees Fahrenheit.,fire,,Flame Pokémon,88.14,11.86,0.9,25,45,8960,65,130,60,95,110,65,Flash Fire,,,Guts,0,0,0,,,,,,
137,I,Porygon,State-of-the-art technology was used to create Porygon. It was the first artificial Pokémon to be created via computer programming.,normal,,Virtual Pokémon,,,0.8,36.5,45,5120,65,60,70,85,75,40,Trace,Download,,Analytic,0,0,0,-16,Porygon2,,,,
138,I,Omanyte,Because some Omanyte manage to escape after being restored or are released into the wild by people this species is becoming a problem.,rock,water,Spiral Pokémon,88.14,11.86,0.4,7.5,45,7680,35,40,100,90,55,35,Swift Swim,Shell Armor,,Weak Armor,0,0,0,40,Omastar,,,,
139,I,Omastar,Weighed down by a large and heavy shell Omastar couldn’t move very fast. Some say it went extinct because it was unable to catch food.,rock,water,Spiral Pokémon,88.14,11.86,1,35,45,7680,70,60,125,115,70,55,Swift Swim,Shell Armor,,Weak Armor,0,0,0,,,,,,
140,I,Kabuto,This species is almost entirely extinct. Kabuto molt every three days making their shells harder and harder.,rock,water,Shellfish Pokémon,88.14,11.86,0.5,11.5,45,7680,30,80,90,55,45,55,Swift Swim,Battle Armor,,Weak Armor,0,0,0,40,Kabutops,,,,
141,I,Kabutops,Kabutops slices its prey apart and sucks out the fluids. The discarded body parts become food for other Pokémon.,rock,water,Shellfish Pokémon,88.14,11.86,1.3,40.5,45,7680,60,115,105,65,70,80,Swift Swim,Battle Armor,,Weak Armor,0,0,0,,,,,,
142,I,Aerodactyl,This is a ferocious Pokémon from ancient times. Apparently even modern technology is incapable of producing a perfectly restored specimen.,rock,flying,Fossil Pokémon,88.14,11.86,1.8,59,45,8960,80,105,65,60,75,130,Rock Head,Pressure,,Unnerve,0,0,0,,,,,,
143,I,Snorlax,It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating it goes promptly to sleep.,normal,,Sleeping Pokémon,88.14,11.86,2.1,460,25,10240,160,110,65,65,110,30,Immunity,Thick Fat,,Gluttony,0,0,0,,,,,,
144,I,Articuno,It’s said that this Pokémon’s beautiful blue wings are made of ice. Articuno flies over snowy mountains its long tail fluttering along behind it.,ice,flying,Freeze Pokémon,,,1.7,55.4,3,20480,90,85,100,95,125,85,Pressure,Competitive (Galarian Form),,Snow Cloak,1,0,0,,,,,,
145,I,Zapdos,This Pokémon has complete control over electricity. There are tales of Zapdos nesting in the dark depths of pitch-black thunderclouds.,electric,flying,Electric Pokémon,,,1.6,52.6,3,20480,90,90,85,125,90,100,Pressure,Defiant (Galarian Form),,Static,1,0,0,,,,,,
146,I,Moltres,It’s one of the legendary bird Pokémon. When Moltres flaps its flaming wings they glimmer with a dazzling red glow.,fire,flying,Flame Pokémon,,,2,60,3,20480,90,100,90,125,85,90,Pressure,Berserk (Galarian Form),,Flame Body,1,0,0,,,,,,
147,I,Dratini,Dratini dwells near bodies of rapidly flowing water such as the plunge pools of waterfalls. As it grows Dratini will shed its skin many times.,dragon,,Dragon Pokémon,50.2,49.8,1.8,3.3,45,10240,41,64,45,50,50,50,Shed Skin,,,Marvel Scale,0,0,0,30,Dragonair,,,,
148,I,Dragonair,This Pokémon lives in pristine oceans and lakes. It can control the weather and it uses this power to fly into the sky riding on the wind.,dragon,,Dragon Pokémon,50.2,49.8,4,16.5,45,10240,61,84,65,70,70,70,Shed Skin,,,Marvel Scale,0,0,0,55,Dragonite,,,,
149,I,Dragonite,It’s a kindhearted Pokémon. If it spots a drowning person or Pokémon Dragonite simply must help them.,dragon,flying,Dragon Pokémon,50.2,49.8,2.2,210,45,10240,91,134,95,100,100,80,Inner Focus,,,Multiscale,0,0,0,,,,,,
150,I,Mewtwo,Its DNA is almost the same as Mew’s. However its size and disposition are vastly different.,psychic,,Genetic Pokémon,,,2,122,3,30720,106,110,90,154,90,130,Pressure,,,Unnerve,0,1,0,,,,,,
151,I,Mew,When viewed through a microscope this Pokémon’s short fine delicate hair can be seen.,psychic,,New Species Pokémon,,,0.4,4,45,30720,100,100,100,100,100,100,Synchronize,,,,0,0,1,,,,,,
